headline,date,id,doc_type,material_type,sectionname,keywords,printpage,wordcount,newsdesk
‘My Best Friend Anne Frank’ Review: Separated by the Nazis,2022-02-01,nyt://article/bfab35d2-4504-56d1-b297-71d2e795a0bd,article,Review,Movies,['Movies'],8,281,Weekend
"On a Smaller Stage, Rick Pitino Is Still ‘Demanding’ and Winning",2022-02-01,nyt://article/0b71e8fa-4e5e-50e3-9c25-d4921970a051,article,News,Sports,"['Basketball (College)', 'Content Type: Personal Profile']",10,1318,Sports
A Manager of a Certain Vintage,2022-02-01,nyt://article/f7b09739-fd26-5160-bf72-152d8461a931,article,News,Sports,"['Wines', 'Content Type: Personal Profile', 'Black People', 'Blacks', 'Baseball', 'Coaches and Managers']",7,1551,Sports
Israeli Commanders Disciplined in Death of Palestinian-American Man,2022-02-01,nyt://article/4d5417af-00ce-59d0-a77f-782d47571c3b,article,News,World,"['Defense and Military Forces', 'War and Armed Conflicts', 'Palestinians', 'Civilian Casualties', 'Deaths (Fatalities)', 'Autopsies']",5,905,Foreign
States Are Complicating Corporate Pandemic Planning,2022-02-01,nyt://article/b22a88ad-1ede-5a11-b043-fb42e13b71be,article,News,Business Day,['Vaccination and Immunization'],,1807,Business
"Weekly News Quiz for Students: Supreme Court, Burkina Faso, Baseball Hall of Fame",2022-02-01,nyt://interactive/6967b810-16fa-5318-b28e-6039a7810b73,multimedia,Interactive Feature,The Learning Network,[],,0,The Learning Network
Exxon Mobil reports a $8.9 billion fourth-quarter profit as oil prices soar.,2022-02-01,nyt://article/3d40adc1-6d6b-56c5-9572-f9ac891c01a8,article,News,Business Day,"['Oil (Petroleum) and Gasoline', 'Company Reports']",4,605,Business
How Ukraine Is Training Civilians to Fight Against a Russian Invasion,2022-02-01,nyt://video/21f4a2bc-d614-5d69-ae50-27cb4afc2f9d,multimedia,Video,World,"['Defense and Military Forces', 'Cameras']",,0,
Recent Commercial Real Estate Transactions,2022-02-01,nyt://article/28dd80f8-41f8-5ebd-a0ef-422cc7ec430c,article,News,Business Day,"['Real Estate and Housing (Residential)', 'Real Estate (Commercial)']",6,196,Business
Warehouse Space Is the Latest Thing Being Hoarded,2022-02-01,nyt://article/bf9ee965-3a69-52e3-af57-61c38ab48a16,article,News,Business Day,"['Warehouses', 'Storage', 'Supply Chain', 'Relocation of Business', 'Real Estate (Commercial)', 'Coronavirus (2019-nCoV)', 'Stockpiling', 'E-Commerce', 'Trucks and Trucking']",6,1220,Business
101 of the Best Songs About California,2022-02-01,nyt://article/d7bccfa8-c5ba-5a06-8c9b-c0e5973206d9,article,briefing,U.S.,"['Music', 'Pop and Rock Music']",,1183,National
The defense secretary tells Republican governors: National Guard troops must be vaccinated.,2022-02-01,nyt://article/53f65496-d4ac-5d01-b63a-2bc6dac868e4,article,News,U.S.,"['Coronavirus (2019-nCoV)', 'United States Defense and Military Forces', 'States (US)', 'Vaccination and Immunization', 'Governors (US)', 'Reserves (Military)']",,363,Washington
"India’s budget focuses on roads, but critics see need for more jobs.",2022-02-01,nyt://article/73c11952-c094-55d0-9619-df86d06536df,article,News,Business Day,"['Budgets and Budgeting', 'Economic Conditions and Trends', 'Labor and Jobs']",4,908,Business
